Time taken: 4.1585 seconds
         15369055 function calls (14734139 primitive calls) in 25.680 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        2    0.000    0.000    0.000    0.000 kind.py:287(_)
       85    0.000    0.000    0.000    0.000 basic.py:288(__new__)
        1    0.000    0.000    0.000    0.000 library.py:495(define)
       52    0.000    0.000    0.000    0.000 auto_docstring.py:2895(add_intro_docstring)
        1    0.000    0.000    0.000    0.000 expr_dt.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fileopener.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _strptime.py:93(__calc_weekday)
       37    0.000    0.000    0.000    0.000 init.py:543(_calculate_correct_fan)
        1    0.000    0.000    0.000    0.000 multiclass.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base_channel.py:30(UnaryUnaryMultiCallable)
        2    0.000    0.000    0.000    0.000 _new_distributions.py:368(__init__)
        1    0.000    0.000    0.000    0.000 kronecker.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:191(AttemptManager)
        1    0.000    0.000    0.000    0.000 pooling.py:43(_MaxPoolNd)
        1    0.000    0.000    0.000    0.000 _writer.py:130(ObjectDeletionFlag)
        1    0.000    0.000    0.000    0.000 _interface.py:1(<module>)
     1091    0.000    0.000    0.000    0.000 _regex_core.py:1942(__init__)
        1    0.000    0.000    0.000    0.000 logging_tensor.py:1(<module>)
     1218    0.000    0.000    0.000    0.000 <string>:2(is_any)
        1    0.000    0.000    0.000    0.000 nested_secrets.py:23(NestedSecretsSettingsSource)
       24    0.000    0.000    0.000    0.000 _ops.py:1456(__getattr__)
      404    0.000    0.000    0.000    0.000 utils.py:329(<genexpr>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 synchronize.py:193(__init__)
        1    0.000    0.000    0.000    0.000 operator.py:1042(Knn)
        1    0.000    0.000    0.000    0.000 polytools.py:106(Poly)
      775    0.000    0.000    0.000    0.000 __init__.py:248(<genexpr>)
       57    0.000    0.000    0.000    0.000 auto_docstring.py:2855(get_args_doc_from_source)
      936    0.000    0.000    0.000    0.000 fields.py:746(is_required)
        1    0.000    0.000    0.000    0.000 contrastive.py:1(<module>)
        1    0.000    0.000    0.000    0.000 named_barrier_value.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stata.py:715(StataMissingValue)
        1    0.000    0.000    0.000    0.000 conv.py:388(Conv2d)
      319    0.000    0.000    0.000    0.000 _urlparse.py:273(<genexpr>)
       32    0.000    0.000    0.000    0.000 _connection.py:235(start_next_cycle)
        1    0.000    0.000    0.000    0.000 safetensors_conversion.py:1(<module>)
       59    0.000    0.000    0.000    0.000 _param_validation.py:589(__init__)
        1    0.000    0.000    0.000    0.000 _data_structures.py:1660(Destination)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:3151(__ror__)
        1    0.000    0.000    0.000    0.000 splade_pooling.py:1(<module>)
        1    0.000    0.000    0.000    0.000 message.py:141(Message)
        1    0.000    0.000    0.000    0.000 bm25_embedding_function.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_cossin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 conditionset.py:1(<module>)
       93    0.000    0.000    0.000    0.000 numerictypes.py:475(issubdtype)
        3    0.000    0.000    0.000    0.000 ctx_mp_python.py:585(__init__)
        1    0.000    0.000    0.000    0.000 schemas.py:306(RunBase)
       45    0.000    0.000    0.000    0.000 warnings.py:184(_add_filter)
        3    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.000    0.000 rbac.py:40(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:168(is_available)
       12    0.000    0.000    0.000    0.000 async_utils.py:16(decorator)
        1    0.000    0.000    0.000    0.000 base_parser.py:86(ParserBase)
        1    0.000    0.000    0.000    0.000 _coo.py:1(<module>)
      108    0.000    0.000    0.000    0.000 parse.py:692(unquote)
        1    0.000    0.000    0.000    0.000 nomic_embedding_function.py:1(<module>)
        1    0.000    0.000    0.000    0.000 funcmatrix.py:1(<module>)
        2    0.000    0.000    0.000    0.000 compatibility.py:1(<module>)
       34    0.000    0.000    0.000    0.000 utils.py:152(__init__)
        1    0.000    0.000    0.000    0.000 http_proxy_digest.py:1(<module>)
      550    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       32    0.000    0.000    0.000    0.000 _client.py:413(_merge_cookies)
        1    0.000    0.000    0.000    0.000 events.py:7(__init__)
        6    0.000    0.000    0.000    0.000 validators.py:100(_validates)
        4    0.000    0.000    0.000    0.000 _generate_schema.py:410(_enum_schema)
        1    0.000    0.000    0.000    0.000 async_api.py:341(AsyncClientAPI)
        1    0.000    0.000    0.000    0.000 schemas.py:191(ExampleUpdate)
       24    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
      250    0.000    0.000    0.000    0.000 _config.py:254(push)
        1    0.000    0.000    0.000    0.000 _thunk.py:1(<module>)
       27    0.000    0.000    0.000    0.000 ast.py:419(visit_Constant)
        1    0.000    0.000    0.000    0.000 ndim_array.py:1(<module>)
       34    0.000    0.000    0.000    0.000 _connection.py:364(receive_data)
        2    0.000    0.000    0.000    0.000 operations.py:623(register_handlerclass)
        1    0.000    0.000    0.000    0.000 __init__.py:1541(warning)
        1    0.000    0.000    0.000    0.000 quantizer_fp_quant.py:1(<module>)
      189    0.000    0.000    0.000    0.000 jsonschema.py:176(subresources_of)
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_find_parent_path_names)
       55    0.000    0.000    0.000    0.000 singleton.py:131(__getattr__)
      188    0.000    0.000    0.000    0.000 message.py:341(set_payload)
        1    0.000    0.000    0.000    0.000 gmpy.py:110(_get_flint)
        2    0.000    0.000    0.000    0.000 sysconfig.py:263(_extend_dict)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        1    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
        1    0.000    0.000    0.000    0.000 misc_ops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _text.py:1(<module>)
       40    0.000    0.000    0.000    0.000 _regex_core.py:2524(<genexpr>)
      116    0.000    0.000    0.000    0.000 sym_node.py:1976(setattrs)
       10    0.000    0.000    0.000    0.000 opaque_object.py:152(register_opaque_type)
       59    0.000    0.000    0.000    0.000 _param_validation.py:596(is_satisfied_by)
        2    0.000    0.000    0.000    0.000 multiple_negatives_ranking.py:1(<module>)
       34    0.000    0.000    0.000    0.000 _make.py:1709(_make_eq_script)
        8    0.000    0.000    0.000    0.000 _model_construction.py:388(get_model_post_init)
       18    0.000    0.000    0.000    0.000 symbolic_shapes.py:319(inner)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 kl.py:960(_add_kl_info)
      486    0.000    0.000    0.000    0.000 typing.py:2901(<genexpr>)
      686    0.000    0.000    0.000    0.000 signature.py:192(<genexpr>)
        7    0.000    0.000    0.000    0.000 symbolic_shapes.py:2688(_lru_cache)
        1    0.000    0.000    0.000    0.000 import_utils.py:891(is_g2p_en_available)
       46    0.000    0.000    0.000    0.000 symbol.py:294(_sanitize)
        1    0.000    0.000    0.000    0.000 matexpr.py:37(MatrixExpr)
        1    0.000    0.000    0.000    0.000 upsampling.py:13(Upsample)
      344    0.000    0.000    0.000    0.000 __init__.py:431(<genexpr>)
      269    0.000    0.000    0.000    0.000 overrides.py:237(_get_base_class)
        1    0.000    0.000    0.000    0.000 _calamine.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ir_passes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hf_api.py:6441(snapshot_download)
        1    0.000    0.000    0.000    0.000 config.py:73(ensure_dirs)
        1    0.000    0.000    0.000    0.000 package.py:65(SerializedCode)
        4    0.000    0.000    0.000    0.000 typing.py:672(Final)
        1    0.000    0.000    0.000    0.000 quantization_config.py:43(QuantizationMethod)
      148    0.000    0.000    0.000    0.000 style.py:155(_make_color)
        1    0.000    0.000    0.000    0.000 check.py:1(<module>)
        1    0.000    0.000    0.000    0.000 containers.py:333(ScalarMap)
      201    0.000    0.000    0.000    0.000 jsonschema.py:151(subresources_of)
        1    0.000    0.000    0.000    0.000 _builtins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 streamreader.py:1(<module>)
       32    0.000    0.000    0.000    0.000 warnings.py:168(simplefilter)
        1    0.000    0.000    0.000    0.000 _runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 amazon_bedrock_embedding_function.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:1502(__or__)
       37    0.000    0.000    0.000    0.000 _auth.py:171(_get_token_from_oidc)
        2    0.000    0.000    0.000    0.000 conv_relu.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
       58    0.000    0.000    0.000    0.000 _param_validation.py:447(_check_params)
      404    0.000    0.000    0.000    0.000 std.py:1157(__hash__)
       12    0.000    0.000    0.000    0.000 _regex_core.py:1600(parse_set_member)
        1    0.000    0.000    0.000    0.000 operator.py:620(Rank)
       45    0.000    0.000    0.000    0.000 ast.py:56(literal_eval)
     1191    0.000    0.000    0.000    0.000 {built-in method _bisect.bisect_right}
        1    0.000    0.000    0.000    0.000 CollectionCommon.py:122(__init__)
      151    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
        1    0.000    0.000    0.000    0.000 types.py:662(SearchResultRow)
        1    0.000    0.000    0.000    0.000 _elementwise_iterative_method.py:29(_initialize)
        1    0.000    0.000    0.000    0.000 dirichlet.py:1(<module>)
       60    0.000    0.000    0.000    0.000 base.py:3601(get_loc)
        2    0.000    0.000    0.000    0.000 __init__.py:5276(empty_like)
        1    0.000    0.000    0.000    0.000 _odfreader.py:1(<module>)
      421    0.000    0.000    0.000    0.000 <frozen _collections_abc>:845(__init__)
        1    0.000    0.000    0.000    0.000 range.py:1(<module>)
        1    0.000    0.000    0.000    0.000 types.py:287(VectorQuery)
      236    0.000    0.000    0.000    0.000 _models.py:195(raw)
        1    0.000    0.000    0.000    0.000 exported_program.py:1048(ExportedProgram)
        1    0.000    0.000    0.000    0.000 import_utils.py:1212(is_tokenizers_available)
        1    0.000    0.000    0.000    0.000 effects.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _vertex.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _strptime.py:101(__calc_month)
        1    0.000    0.000    0.000    0.000 package.py:486(PrecompileCacheEntry)
        1    0.000    0.000    0.000    0.000 _covariance.py:1(<module>)
       29    0.000    0.000    0.000    0.000 _make.py:1142(add_eq)
        1    0.000    0.000    0.000    0.000 std.py:1325(refresh)
        4    0.000    0.000    0.000    0.000 _function_base_impl.py:1897(_arg_trim_zeros)
        1    0.000    0.000    0.000    0.000 construction.py:553(_homogenize)
      429    0.000    0.000    0.000    0.000 _core.py:236(subresources)
        1    0.000    0.000    0.000    0.000 _ndarray.py:307(ndarray)
      324    0.000    0.000    0.000    0.000 signature.py:119(_unbound_func)
        1    0.000    0.000    0.000    0.000 theme.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyoptions.py:187(_init_dependencies_order)
      429    0.000    0.000    0.000    0.000 _core.py:79(__get__)
        1    0.000    0.000    0.000    0.000 error_attributes.py:1(<module>)
    15/12    0.000    0.000    0.000    0.000 _regex_core.py:3917(optimise)
      127    0.000    0.000    0.000    0.000 _generate_schema.py:2716(resolve_original_schema)
     2092    0.000    0.000    0.000    0.000 enum.py:251(__init__)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
       20    0.000    0.000    0.000    0.000 decorators.py:28(decorator)
        1    0.000    0.000    0.000    0.000 errors.py:119(PydanticErrorMixin)
       56    0.000    0.000    0.000    0.000 _generate_schema.py:2374(_apply_single_annotation_json_schema)
       12    0.000    0.000    0.000    0.000 constants.py:34(__getattr__)
        1    0.000    0.000    0.000    0.000 instancenorm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bytecode_transformation.py:69(Instruction)
        1    0.000    0.000    0.000    0.000 _data_structures.py:708(TreeObject)
        8    0.000    0.000    0.000    0.000 __init__.py:254(check_contiguous_sizes_strides)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._cuda_getDeviceCount}
        1    0.000    0.000    0.000    0.000 _eventloop.py:51(AsyncBackend)
        1    0.000    0.000    0.000    0.000 byte_level_bpe.py:10(ByteLevelBPETokenizer)
      352    0.000    0.000    0.000    0.000 utils.py:24(_get_env_var_key)
        1    0.000    0.000    0.000    0.000 conv.py:225(Conv1d)
        1    0.000    0.000    0.000    0.000 _channel.py:318(Channel)
       30    0.000    0.000    0.000    0.000 _regex_core.py:558(apply_quantifier)
        1    0.000    0.000    0.000    0.000 utils.py:34(envwrap)
        4    0.000    0.000    0.000    0.000 arrayprint.py:846(_formatArray)
        2    0.000    0.000    0.000    0.000 protocols.py:1(<module>)
      199    0.000    0.000    0.000    0.000 _funcs.py:22(is_public_function)
    68/54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1380(__len__)
      362    0.000    0.000    0.000    0.000 module.py:2769(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:1660(_log)
     1134    0.000    0.000    0.000    0.000 _ops.py:1032(overloadpacket)
       15    0.000    0.000    0.000    0.000 _util.py:108(__new__)
        1    0.000    0.000    0.000    0.000 _multivariate.py:1728(__init__)
        1    0.000    0.000    0.000    0.000 _utils.py:324(Implementation)
        1    0.000    0.000    0.000    0.000 ascii.py:1(<module>)
      192    0.000    0.000    0.000    0.000 request.py:397(add_header)
       35    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
       50    0.000    0.000    0.000    0.000 typing.py:1581(<genexpr>)
      178    0.000    0.000    0.000    0.000 _regex_core.py:4291(match)
       14    0.000    0.000    0.000    0.000 locale.py:667(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 independent.py:1(<module>)
        1    0.000    0.000    0.000    0.000 openai_embedding_function.py:1(<module>)
        1    0.000    0.000    0.000    0.000 processing_utils.py:304(VideosKwargs)
        1    0.000    0.000    0.000    0.000 importer.py:1(<module>)
     1146    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        2    0.000    0.000    0.000    0.000 package.py:52(_code_cache)
        1    0.000    0.000    0.000    0.000 main.py:449(Pregel)
       92    0.000    0.000    0.000    0.000 weakref.py:152(__contains__)
      319    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 huggingface_embedding_function.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parameter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 import_utils.py:828(is_pretty_midi_available)
        1    0.000    0.000    0.000    0.000 adjoint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cloudpickle.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _import_utils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 std.py:1150(__str__)
        1    0.000    0.000    0.000    0.000 tensor.py:2161(SymNodeVariable)
        1    0.000    0.000    0.000    0.000 __init__.py:60(Sectioned)
        4    0.000    0.000    0.000    0.000 _regex_core.py:3169(pack_characters)
        2    0.000    0.000    0.000    0.000 std.py:455(print_status)
        1    0.000    0.000    0.000    0.000 logging.py:67(_configure_library_root_logger)
      372    0.000    0.000    0.000    0.000 signature.py:245(is_param_defined_in_sub)
        1    0.000    0.000    0.000    0.000 config.py:326(Component)
       47    0.000    0.000    0.000    0.000 numbers.py:1965(__eq__)
        1    0.000    0.000    0.000    0.000 hyperparameter_search.py:1(<module>)
      120    0.000    0.000    0.000    0.000 inspect.py:1465(repl)
      154    0.000    0.000    0.000    0.000 __init__.py:860(sym_float)
      154    0.000    0.000    0.000    0.000 overrides.py:2127(_pop_mode_temporarily)
        1    0.000    0.000    0.000    0.000 monomials.py:1(<module>)
        1    0.000    0.000    0.000    0.000 region.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loaders.py:460(FunctionLoader)
        2    0.000    0.000    0.000    0.000 sysconfig.py:188(_safe_realpath)
        1    0.000    0.000    0.000    0.000 loaders.py:152(FileSystemLoader)
      223    0.000    0.000    0.000    0.000 modality.py:94(_is_non_text_pair)
     1008    0.000    0.000    0.000    0.000 <string>:2(is_final)
       48    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:281(__init__)
        1    0.000    0.000    0.000    0.000 import_utils.py:906(is_datasets_available)
        2    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:3256(_moment_central_transform)
       44    0.000    0.000    0.000    0.000 modeling_utils.py:321(<genexpr>)
        2    0.000    0.000    0.000    0.000 globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 conv.py:568(Conv3d)
      139    0.000    0.000    0.000    0.000 _ops.py:851(_opname)
       29    0.000    0.000    0.000    0.000 _config_module.py:163(_read_env_variable)
        1    0.000    0.000    0.000    0.000 _utils.py:583(Version)
        1    0.000    0.000    0.000    0.000 matcher_utils.py:18(_init_logger)
      901    0.000    0.000    0.000    0.000 _generate_schema.py:2561(apply_validators)
        2    0.000    0.000    0.000    0.000 types.py:1713(validate_embedding_function_field)
        1    0.000    0.000    0.000    0.000 pooling.py:407(MaxUnpool2d)
        3    0.000    0.000    0.000    0.000 contract.py:45(contract)
       20    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:2016(_validate_order_kind)
        3    0.000    0.000    0.000    0.000 functools.py:777(_find_impl)
       29    0.000    0.000    0.000    0.000 typing.py:1603(__repr__)
        1    0.000    0.000    0.000    0.000 introspection.py:223(AnnotationSource)
      240    0.000    0.000    0.000    0.000 _collections.py:23(freeze)
        1    0.000    0.000    0.000    0.000 series_class.py:1(<module>)
        1    0.000    0.000    0.000    0.000 schemas.py:1581(InsightsReportResult)
      143    0.000    0.000    0.000    0.000 weakref.py:347(__new__)
        1    0.000    0.000    0.000    0.000 euc_kr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exemplar_reservoir.py:1(<module>)
        1    0.000    0.000    0.000    0.000 spectral_norm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fake_class_registry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _viewerpref.py:41(ViewerPreferences)
      348    0.000    0.000    0.000    0.000 utils.py:91(<genexpr>)
        1    0.000    0.000    0.000    0.000 cp1125.py:1(<module>)
      901    0.000    0.000    0.000    0.000 _schema_generation_shared.py:72(__init__)
        1    0.000    0.000    0.000    0.000 powerset.py:1(<module>)
      149    0.000    0.000    0.000    0.000 enforce.py:21(_check_if_overrides_without_overrides_decorator)
        1    0.000    0.000    0.000    0.000 embedding_bag.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socks.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _utils.py:22(__setitem__)
      555    0.000    0.000    0.000    0.000 typing_extensions.py:1101(<genexpr>)
        1    0.000    0.000    0.000    0.000 modeling_flash_attention_utils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:236(generate_model_signature)
       25    0.000    0.000    0.000    0.000 typing.py:2145(runtime_checkable)
      206    0.000    0.000    0.000    0.000 {method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects}
      214    0.000    0.000    0.000    0.000 _sources.py:52(remove_prefix)
     20/4    0.000    0.000    0.000    0.000 arrayprint.py:855(recurser)
        1    0.000    0.000    0.000    0.000 quantizer_bnb_8bit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 import_utils.py:1352(is_mlx_available)
        1    0.000    0.000    0.000    0.000 content.py:126(Citation)
        1    0.000    0.000    0.000    0.000 _commit_api.py:58(CommitOperationDelete)
       21    0.000    0.000    0.000    0.000 _regex_core.py:411(_flatten_code)
      135    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
        1    0.000    0.000    0.000    0.000 _qmc.py:1609(Sobol)
       22    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        1    0.000    0.000    0.000    0.000 containers.py:103(RepeatedScalarFieldContainer)
    24/12    0.000    0.000    0.000    0.000 _repr.py:92(display_as_type)
        1    0.000    0.000    0.000    0.000 polynomial.py:1(<module>)
      108    0.000    0.000    0.000    0.000 iterables.py:3025(iterable)
        1    0.000    0.000    0.000    0.000 quantization_config.py:1096(CompressedTensorsConfig)
       21    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:1127(_dispatch)
      696    0.000    0.000    0.000    0.000 __init__.py:772(__bool__)
        1    0.000    0.000    0.000    0.000 rpc_attributes.py:198(RpcGrpcStatusCodeValues)
        1    0.000    0.000    0.000    0.000 aot_compile_types.py:1(<module>)
       64    0.000    0.000    0.000    0.000 _auth.py:62(sync_auth_flow)
        1    0.000    0.000    0.000    0.000 metaestimators.py:1(<module>)
       87    0.000    0.000    0.000    0.000 trace_rules.py:3151(add)
        1    0.000    0.000    0.000    0.000 logs_pb2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 schemas.py:986(PromptCommit)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 func_inspect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 import_utils.py:723(is_hqq_available)
        1    0.000    0.000    0.000    0.000 pooling.py:1002(FractionalMaxPool3d)
       32    0.000    0.000    0.000    0.000 _writers.py:22(write_headers)
      120    0.000    0.000    0.000    0.000 _config.py:36(get_config)
        1    0.000    0.000    0.000    0.000 smtlib.py:25(SMTLibPrinter)
      135    0.000    0.000    0.000    0.000 __editable___enterprise_rag_platform_1_0_0_finder.py:15(find_spec)
        1    0.000    0.000    0.000    0.000 networks.py:423(MultiHostDsn)
       12    0.000    0.000    0.000    0.000 _regex_core.py:1641(parse_set_item)
        4    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
      237    0.000    0.000    0.000    0.000 traceback.py:327(walk_stack)
      429    0.000    0.000    0.000    0.000 _connection.py:224(their_state)
        6    0.000    0.000    0.000    0.000 _utils.py:12(normalize)
        1    0.000    0.000    0.000    0.000 configparser.py:494(LegacyInterpolation)
        1    0.000    0.000    0.000    0.000 _inference_endpoints.py:42(InferenceEndpoint)
        1    0.000    0.000    0.000    0.000 _interceptor.py:925(InterceptedStreamStreamCall)
        1    0.000    0.000    0.000    0.000 utils.py:49(<genexpr>)
        1    0.000    0.000    0.000    0.000 schemas.py:393(Run)
        1    0.000    0.000    0.000    0.000 builder.py:464(VariableBuilder)
        1    0.000    0.000    0.000    0.000 sdpa.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _detect_agent.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _fields.py:483(_recreate_field_info)
       15    0.000    0.000    0.000    0.000 _bunch.py:5(_validate_names)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
      505    0.000    0.000    0.000    0.000 __init__.py:811(__init__)
     1482    0.000    0.000    0.000    0.000 _builtins.py:153(_is_special_functional_bound_op)
      297    0.000    0.000    0.000    0.000 typing.py:1320(<genexpr>)
        1    0.000    0.000    0.000    0.000 span.py:434(SpanContext)
        1    0.000    0.000    0.000    0.000 cloudflare_workers_ai_embedding_function.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:3215(_moment_central)
       28    0.000    0.000    0.000    0.000 shutil.py:1471(_access_check)
        1    0.000    0.000    0.000    0.000 _base_channel.py:182(Channel)
        1    0.000    0.000    0.000    0.000 dlpack.py:14(DLDeviceType)
        3    0.000    0.000    0.000    0.000 numba_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _interpolate.py:286(__init__)
        3    0.000    0.000    0.000    0.000 loss.py:41(__init__)
        1    0.000    0.000    0.000    0.000 compat.py:37(_resolve_char_detection)
        1    0.000    0.000    0.000    0.000 bccache.py:1(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
      201    0.000    0.000    0.000    0.000 import_utils.py:1481(is_jax_jitting)
      755    0.000    0.000    0.000    0.000 glob.py:230(_ishidden)
      404    0.000    0.000    0.000    0.000 {method 'is_complex' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.000    0.000 _text_extractor.py:1(<module>)
      437    0.000    0.000    0.000    0.000 base.py:251(<genexpr>)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:65(__init__)
        1    0.000    0.000    0.000    0.000 _base_server.py:154(ServicerContext)
       28    0.000    0.000    0.000    0.000 calendar.py:123(__getitem__)
        4    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:2391(mean)
       24    0.000    0.000    0.000    0.000 datapipe.py:159(register_datapipe_as_function)
        3    0.000    0.000    0.000    0.000 _new_distributions.py:110(_moment_central_formula)
        1    0.000    0.000    0.000    0.000 frames.py:55(CloseCode)
       90    0.000    0.000    0.000    0.000 typing.py:2446(no_type_check)
       32    0.000    0.000    0.000    0.000 parse.py:1078(unwrap)
      150    0.000    0.000    0.000    0.000 _text_extractor.py:274(_handle_tl)
       16    0.000    0.000    0.000    0.000 inspect.py:801(_finddoc)
        1    0.000    0.000    0.000    0.000 tokenization_python.py:1(<module>)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
      125    0.000    0.000    0.000    0.000 _decorators.py:488(_validate)
    30/12    0.000    0.000    0.000    0.000 configuration_utils.py:1139(dict_dtype_to_str)
        1    0.000    0.000    0.000    0.000 iso2022_kr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cb_logits_processors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 softmax.py:1(<module>)
      192    0.000    0.000    0.000    0.000 _generics.py:227(get_model_typevars_map)
        1    0.000    0.000    0.000    0.000 containers.py:30(Renderables)
        1    0.000    0.000    0.000    0.000 text.py:47(Span)
        1    0.000    0.000    0.000    0.000 candidate_generator.py:80(AssistedCandidateGenerator)
        2    0.000    0.000    0.000    0.000 _generate_schema.py:684(_apply_discriminator_to_union)
      239    0.000    0.000    0.000    0.000 _param_validation.py:296(__init__)
       70    0.000    0.000    0.000    0.000 _util.py:1118(_apply_over_batch)
        1    0.000    0.000    0.000    0.000 http_proxy_digest.py:10(HTTPProxyDigestAuth)
        7    0.000    0.000    0.000    0.000 __init__.py:221(__init__)
        1    0.000    0.000    0.000    0.000 modeling_utils.py:2004(_check_and_adjust_experts_implementation)
      201    0.000    0.000    0.000    0.000 _text_extractor.py:327(_handle_t_star)
      130    0.000    0.000    0.000    0.000 jsonschema.py:107(_legacy_anchor_in_dollar_id)
     1572    0.000    0.000    0.000    0.000 _model_construction.py:355(<genexpr>)
       44    0.000    0.000    0.000    0.000 _models.py:1228(__bool__)
      613    0.000    0.000    0.000    0.000 _collections.py:24(<lambda>)
      440    0.000    0.000    0.000    0.000 enum.py:1266(__hash__)
       20    0.000    0.000    0.000    0.000 base.py:1380(decorator)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
       46    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 in_memory_log_exporter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tokenization_utils_base.py:1217(add_tokens)
        1    0.000    0.000    0.000    0.000 wrap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 graph_region_tracker.py:1(<module>)
    27/14    0.000    0.000    0.000    0.000 {method 'zero_' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.000    0.000 import_utils.py:1287(is_torchaudio_available)
        1    0.000    0.000    0.000    0.000 curve.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyarrow.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _generics.py:471(set_cached_generic_type)
