Time taken: 4.1585 seconds
         15369055 function calls (14734139 primitive calls) in 25.680 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      764    0.001    0.000    1.197    0.002 _functools.py:99(wrapper)
       17    0.000    0.000    1.196    0.070 _http.py:657(_httpx_follow_relative_redirects_with_backoff)
     2928    0.508    0.000    1.191    0.000 import_utils.py:2647(fetch__all__)
       29    0.000    0.000    1.191    0.041 _http.py:494(http_backoff)
       71    0.038    0.001    1.190    0.017 __init__.py:496(skip_missing_files)
       58    0.001    0.000    1.190    0.021 _http.py:397(_http_backoff_base)
        6    0.000    0.000    1.171    0.195 graph.py:1(<module>)
       32    0.002    0.000    1.165    0.036 http11.py:65(handle_request)
       67    0.001    0.000    1.145    0.017 http11.py:209(_receive_event)
       32    0.000    0.000    1.143    0.036 http11.py:170(_receive_response_headers)
        3    0.000    0.000    1.132    0.377 message.py:1(<module>)
       34    0.001    0.000    1.122    0.033 sync.py:124(read)
       34    0.001    0.000    1.119    0.033 ssl.py:1225(recv)
       34    0.001    0.000    1.119    0.033 ssl.py:1094(read)
       34    1.118    0.033    1.118    0.033 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.001    0.001    1.115    1.115 transformer.py:1998(load)
        1    0.000    0.000    1.112    1.112 decorators.py:64(wrapper)
        2    0.000    0.000    1.102    0.551 exc.py:1(<module>)
     1206    0.010    0.000    1.080    0.001 modeling_bert.py:308(forward)
      625    0.002    0.000    1.068    0.002 _docscrape.py:579(__init__)
        1    0.001    0.001    1.066    1.066 _stats_py.py:1(<module>)
    15632    0.026    0.000    1.038    0.000 __init__.py:498(<lambda>)
      474    0.008    0.000    0.953    0.002 _array_api.py:840(decorator)
      633    0.005    0.000    0.952    0.002 _docscrape.py:140(__init__)
        3    0.000    0.000    0.950    0.317 auto.py:1(<module>)
        1    0.001    0.001    0.950    0.950 pipeline.py:76(build_index)
        1    0.000    0.000    0.928    0.928 chroma_store.py:50(add)
  123/118    0.982    0.008    0.927    0.008 custom_ops.py:635(_register_to_dispatcher)
     1148    0.004    0.000    0.882    0.001 dataclasses.py:1247(dataclass)
    39509    0.346    0.000    0.880    0.000 {built-in method posix.stat}
     4343    0.047    0.000    0.872    0.000 dataclasses.py:449(_create_fn)
      162    0.001    0.000    0.870    0.005 overrides.py:152(_overrides)
        1    0.000    0.000    0.848    0.848 transformer.py:588(__init__)
        1    0.001    0.001    0.838    0.838 symbolic_shapes.py:1(<module>)
      135    0.000    0.000    0.818    0.006 overrides.py:112(override)
     4395    0.807    0.000    0.807    0.000 {built-in method marshal.loads}
     1206    0.050    0.000    0.773    0.001 modeling_bert.py:168(forward)
      133    0.002    0.000    0.766    0.006 library.py:178(_register_fake)
        2    0.000    0.000    0.760    0.380 state.py:1(<module>)
      633    0.020    0.000    0.756    0.001 _docscrape.py:388(_parse)
    39/20    0.000    0.000    0.755    0.038 _import_utils.py:4(import_attr)
4670/4662    0.013    0.000    0.746    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.742    0.742 _flat_param.py:1(<module>)
      204    0.001    0.000    0.731    0.004 module.py:1254(to)
25050/204    0.259    0.000    0.728    0.004 module.py:930(_apply)
      133    0.002    0.000    0.721    0.005 fake_impl.py:34(register)
        1    0.000    0.000    0.702    0.702 processing_auto.py:127(from_pretrained)
        3    0.001    0.000    0.692    0.231 schemas.py:1(<module>)
    15694    0.016    0.000    0.687    0.000 pathlib.py:852(exists)
      228    0.003    0.000    0.686    0.003 inspect.py:1070(findsource)
      133    0.001    0.000    0.685    0.005 utils.py:36(get_source)
      133    0.003    0.000    0.684    0.005 inspect.py:1688(getframeinfo)
    15784    0.008    0.000    0.673    0.000 pathlib.py:835(stat)
  463/461    0.041    0.000    0.665    0.001 inspect.py:988(getmodule)
  1931299    0.662    0.000    0.662    0.000 {method 'startswith' of 'str' objects}
    68840    0.070    0.000    0.660    0.000 pathlib.py:551(drive)
     1206    0.018    0.000    0.635    0.001 modeling_bert.py:338(forward)
        1    0.000    0.000    0.634    0.634 _fsdp_extensions.py:1(<module>)
       18    0.000    0.000    0.630    0.035 hub.py:238(cached_file)
       18    0.001    0.000    0.629    0.035 hub.py:298(cached_files)
